"pseudobulk_id","sample","stage","macrophage_state","n_cells"
"GSM5599228_Cancer4___Mac-TNF-CCL4-inflammatory","GSM5599228_Cancer4","Early","Mac-TNF-CCL4-inflammatory",175
"GSM5599228_Cancer4___Mono-FCN1-S100A8-S100A9","GSM5599228_Cancer4","Early","Mono-FCN1-S100A8-S100A9",26
"GSM5599228_Cancer4___Myeloid-CLEC10A-APC","GSM5599228_Cancer4","Early","Myeloid-CLEC10A-APC",37
"GSM5599229_Cancer5___C6-SLC2A1-like","GSM5599229_Cancer5","Advanced","C6-SLC2A1-like",22
"GSM5599229_Cancer5___C7-APOBEC3A-like","GSM5599229_Cancer5","Advanced","C7-APOBEC3A-like",143
"GSM5599229_Cancer5___Mac-Cycling","GSM5599229_Cancer5","Advanced","Mac-Cycling",68
"GSM5599229_Cancer5___Mac-FOLR2-LYVE1-resident","GSM5599229_Cancer5","Advanced","Mac-FOLR2-LYVE1-resident",99
"GSM5599229_Cancer5___Mac-NUPR1-IGF2-stress","GSM5599229_Cancer5","Advanced","Mac-NUPR1-IGF2-stress",30
"GSM5599229_Cancer5___Mac-OLFML3-CX3CR1-resident","GSM5599229_Cancer5","Advanced","Mac-OLFML3-CX3CR1-resident",23
"GSM5599230_Cancer6___C6-SLC2A1-like","GSM5599230_Cancer6","Advanced","C6-SLC2A1-like",103
"GSM5599230_Cancer6___Mac-Cycling","GSM5599230_Cancer6","Advanced","Mac-Cycling",99
"GSM5599230_Cancer6___Mac-FOLR2-LYVE1-resident","GSM5599230_Cancer6","Advanced","Mac-FOLR2-LYVE1-resident",113
"GSM5599230_Cancer6___Mac-NUPR1-IGF2-stress","GSM5599230_Cancer6","Advanced","Mac-NUPR1-IGF2-stress",100
"GSM5599230_Cancer6___Mac-OLFML3-CX3CR1-resident","GSM5599230_Cancer6","Advanced","Mac-OLFML3-CX3CR1-resident",36
"GSM5599230_Cancer6___Mac-TNF-CCL4-inflammatory","GSM5599230_Cancer6","Advanced","Mac-TNF-CCL4-inflammatory",54
"GSM5599231_Cancer7___C7-APOBEC3A-like","GSM5599231_Cancer7","Early","C7-APOBEC3A-like",57
"GSM5599231_Cancer7___Mac-Cycling","GSM5599231_Cancer7","Early","Mac-Cycling",21
"GSM5599231_Cancer7___Mac-FOLR2-LYVE1-resident","GSM5599231_Cancer7","Early","Mac-FOLR2-LYVE1-resident",22
"GSM5599231_Cancer7___Mac-NUPR1-IGF2-stress","GSM5599231_Cancer7","Early","Mac-NUPR1-IGF2-stress",31
