"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Epithelia","C7-APOBEC3A-like","COL9A2","CD44",0.00195523643548819,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","CD8 T","COL9A2","CD44",0.00130311458021496,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Cell cycle cell","COL9A2","CD44",0.00115290479831957,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Epithelia","COL9A2","CD44",0.00013039010391464,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Fibroblast","COL9A2","CD44",0.00052860718969502,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-Cycling","COL9A2","CD44",0.00155025829923248,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-FOLR2-LYVE1-resident","COL9A2","CD44",0.000464247280766076,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-OLFML3-CX3CR1-resident","COL9A2","CD44",0.00145227539553439,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-TNF-CCL4-inflammatory","COL9A2","CD44",0.00182332167157447,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mono-FCN1-S100A8-S100A9","COL9A2","CD44",0.00268651310376928,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Myeloid","COL9A2","CD44",0.000780312366891619,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Myeloid-CLEC10A-APC","COL9A2","CD44",0.00268684400335413,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Other T","COL9A2","CD44",0.00136368198728387,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Epithelia","SMC_myoFibroblast","COL9A2","CD44",0.00161093546549154,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","B cell_plasma","LAMA1","CD44",0.000589041692603978,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C6-SLC2A1-like","LAMA1","CD44",0.00884578287869898,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C7-APOBEC3A-like","LAMA1","CD44",0.00779037397839886,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","CD8 T","LAMA1","CD44",0.00520222727847233,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Cell cycle cell","LAMA1","CD44",0.00460463973708265,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Epithelia","LAMA1","CD44",0.000522372071555691,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Fibroblast","LAMA1","CD44",0.00211518676338978,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-Cycling","LAMA1","CD44",0.00618428258709908,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-FOLR2-LYVE1-resident","LAMA1","CD44",0.00185801394389505,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-OLFML3-CX3CR1-resident","LAMA1","CD44",0.00579510964699437,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-TNF-CCL4-inflammatory","LAMA1","CD44",0.00726764426451597,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mono-FCN1-S100A8-S100A9","LAMA1","CD44",0.01068069136504,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myeloid","LAMA1","CD44",0.00312001006795871,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myeloid-CLEC10A-APC","LAMA1","CD44",0.0106819963664746,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Other T","LAMA1","CD44",0.00544303366847342,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SMC_myoFibroblast","LAMA1","CD44",0.0064251684526486,0,"LAMA1_CD44","LAMA1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","B cell_plasma","LAMA2","CD44",0.00145150895601277,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C6-SLC2A1-like","LAMA2","CD44",0.0215371394370651,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C7-APOBEC3A-like","LAMA2","CD44",0.018996520045035,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","CD8 T","LAMA2","CD44",0.0127332035224685,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Cell cycle cell","LAMA2","CD44",0.0112803311846638,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Epithelia","LAMA2","CD44",0.0012873482749695,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Fibroblast","LAMA2","CD44",0.00520058810724625,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-Cycling","LAMA2","CD44",0.0151153245644171,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-FOLR2-LYVE1-resident","LAMA2","CD44",0.00456999792243993,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-OLFML3-CX3CR1-resident","LAMA2","CD44",0.014172141535196,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-TNF-CCL4-inflammatory","LAMA2","CD44",0.0177353045743496,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mono-FCN1-S100A8-S100A9","LAMA2","CD44",0.0259357677434232,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myeloid","LAMA2","CD44",0.00765988582269632,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myeloid-CLEC10A-APC","LAMA2","CD44",0.0259388877896212,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Other T","LAMA2","CD44",0.0133179450416436,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SMC_myoFibroblast","LAMA2","CD44",0.0156985910108744,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","B cell_plasma","LAMA3","CD44",7.81291758712391e-05,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","B cell_plasma","LAMA3","CD44",0.000489063656612146,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","C6-SLC2A1-like","LAMA3","CD44",0.00118175311891303,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","C6-SLC2A1-like","LAMA3","CD44",0.0073547013832413,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","C7-APOBEC3A-like","LAMA3","CD44",0.00103979638938848,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
