"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.23972411288177e-21,0.274978573620589,0.878,0.615,2.7671881923634e-17,"1","CANX"
1.55349164300955e-21,0.307534536543681,0.908,0.714,3.46754869636162e-17,"1","RPL36A"
1.57657021119136e-21,0.35776521018502,0.119,0.036,3.51906236840024e-17,"1","STK39"
1.71525386975987e-21,0.414135581357671,0.134,0.044,3.828618162691e-17,"1","TMEM186"
1.76654548292035e-21,0.337143860669564,0.25,0.111,3.94310617242652e-17,"1","DHTKD1"
1.91401019129674e-21,0.575237593403813,0.138,0.047,4.27226214799346e-17,"1","LINC00342"
2.04928440182137e-21,0.420653531779051,0.152,0.054,4.57420771330547e-17,"1","ELAC1"
2.29460312363265e-21,0.264332878509556,0.763,0.501,5.12178363226045e-17,"1","SSR2"
2.62719632376347e-21,1.08169547096825,0.101,0.028,5.86416491427245e-17,"1","DTD2"
2.67189921302378e-21,0.752342791769119,0.115,0.035,5.96394623339039e-17,"1","MON1A"
2.70099000353075e-21,0.36844915076626,0.142,0.049,6.02887978688099e-17,"1","SPICE1"
2.75065161013214e-21,1.08572896794167,0.111,0.033,6.13972945897596e-17,"1","PIR"
2.85433244818144e-21,0.45450185201514,0.155,0.056,6.37115545758579e-17,"1","BMP1"
2.98146058001454e-21,0.472883939047989,0.135,0.045,6.65491816065045e-17,"1","SLC25A4"
3.00007388249622e-21,0.734597936313982,0.152,0.054,6.69646491311981e-17,"1","C12orf73"
3.25057656260292e-21,0.29957706883463,0.888,0.635,7.25561194538599e-17,"1","CCDC88A"
3.57011357988243e-21,0.490477746257454,0.133,0.044,7.96885052165557e-17,"1","ZNF789"
3.67792511618479e-21,0.255330952088018,0.123,0.039,8.20949665183607e-17,"1","GLYCTK"
4.67019168355975e-21,0.328824205220921,0.167,0.063,1.04243348568737e-16,"1","WDSUB1"
5.32817642366602e-21,0.433623774078844,0.185,0.073,1.18930225952649e-16,"1","LMBRD2"
5.35556980152221e-21,0.276860994749215,0.234,0.102,1.19541673539777e-16,"1","TOR1B"
5.75134234386105e-21,0.354740052481894,0.141,0.048,1.28375712457322e-16,"1","PUS3"
5.76614820891504e-21,0.390275240022859,0.215,0.091,1.28706194171193e-16,"1","FBXO8"
6.14586570590955e-21,0.315405035369872,0.155,0.056,1.37181868421607e-16,"1","MFSD3"
6.50729171175983e-21,0.367748366067127,0.192,0.077,1.45249258298191e-16,"1","NRIP3"
6.80760356017385e-21,0.345078847828864,0.969,0.851,1.5195251906664e-16,"1","RPL23"
6.93286133325292e-21,0.576007703295794,0.149,0.053,1.54748397819538e-16,"1","C1orf109"
7.02707975863679e-21,0.346199537601475,0.166,0.062,1.56851447292532e-16,"1","ABCC4"
7.5005296932507e-21,0.698732982492085,0.144,0.051,1.67419323283049e-16,"1","FICD"
8.39804284822174e-21,0.294805158330449,0.179,0.07,1.87452714415157e-16,"1","DEXI"
9.89217794422565e-21,0.318811152245486,0.187,0.075,2.20803303893061e-16,"1","CDKAL1"
1.05285242503779e-20,0.322799042739842,0.168,0.064,2.35007189792684e-16,"1","TSPAN17"
1.07393478983181e-20,0.265583012604983,0.201,0.083,2.39712984438358e-16,"1","ESS2"
1.17389885242529e-20,0.287615331233524,0.93,0.704,2.62025962849848e-16,"1","IFI16"
1.19025868837816e-20,0.638858855666171,0.168,0.065,2.6567764183289e-16,"1","ZNF101"
1.19970730894703e-20,0.26732488277649,0.118,0.037,2.67786668430068e-16,"1","TMCO6"
1.24790452555512e-20,0.258666678397958,0.7,0.462,2.78544769149158e-16,"1","WDR83OS"
1.27786097685041e-20,0.468513119002033,0.171,0.066,2.85231348642781e-16,"1","ZNF107"
1.3142735224908e-20,0.35221670723048,0.159,0.059,2.93358992955171e-16,"1","HIST1H2BD"
1.4655086111877e-20,0.344858777366136,0.119,0.037,3.27116177103207e-16,"1","COPG2"
1.53443081762162e-20,0.303238754977997,0.185,0.074,3.42500302801321e-16,"1","MINPP1"
1.58972492237892e-20,0.317391468561793,0.145,0.051,3.54842499924199e-16,"1","ALG6"
1.60294303386813e-20,0.253115404186624,0.148,0.053,3.57792914589705e-16,"1","WDR89"
1.71985857706793e-20,0.310210881776529,0.189,0.076,3.83889632987332e-16,"1","ADO"
1.83899792717624e-20,0.402951659532293,0.111,0.034,4.10482727325008e-16,"1","CCDC189"
1.91369100628178e-20,0.291925071722638,0.906,0.711,4.27154969512155e-16,"1","ATP6V0B"
2.14767375051811e-20,0.365370108447804,0.598,0.373,4.79382257853148e-16,"1","RAB32"
2.22404186499358e-20,0.255576902622451,0.707,0.456,4.96428384685217e-16,"1","LAMTOR5"
2.30743808462535e-20,0.32161238901329,0.178,0.07,5.15043254869225e-16,"1","PATZ1"
2.79966573532862e-20,0.770930386468863,0.116,0.037,6.24913388782702e-16,"1","AACS"
3.02809156314608e-20,0.255357003703995,0.185,0.074,6.75900317809836e-16,"1","RFX7"
3.1328059776471e-20,0.586093290364409,0.129,0.043,6.99273622270609e-16,"1","FASTKD3"
3.13915517842197e-20,0.357393066812004,0.186,0.075,7.00690827375569e-16,"1","CARNMT1"
3.18307862011153e-20,0.279294870327536,0.981,0.915,7.10494978795094e-16,"1","RPS14"
3.19080595049755e-20,0.262402694739947,0.223,0.097,7.12219796210558e-16,"1","TMEM184B"
3.30426138646952e-20,0.353671747447807,0.14,0.049,7.37544184073862e-16,"1","MFGE8"
3.40185524216834e-20,0.277552589221661,0.215,0.093,7.59328108604395e-16,"1","EMP2"
3.73431492508093e-20,0.388348861543427,0.118,0.037,8.33536434427315e-16,"1","ASB13"
3.7937331352287e-20,0.667080460819307,0.156,0.059,8.46799173114399e-16,"1","IPO13"
4.09256822250123e-20,0.33513125287619,0.14,0.049,9.13502152944499e-16,"1","DIABLO"
4.29482263741605e-20,0.255679782823844,0.999,0.992,9.58647360897637e-16,"1","TMSB4X"
4.50265282711896e-20,0.306822000107233,0.989,0.9,1.00503713754122e-15,"1","RPL18A"
5.18047871253313e-20,0.295954443007888,0.155,0.057,1.15633465342452e-15,"1","CLUAP1"
5.79401600293372e-20,0.773104760506872,0.133,0.046,1.29328231201483e-15,"1","CEACAM21"
6.36472676511311e-20,0.32017296183507,0.733,0.469,1.4206706612409e-15,"1","SNX2"
6.74713465016063e-20,0.250367110936745,0.927,0.739,1.50602792526235e-15,"1","HNRNPC"
7.82012740103567e-20,0.708857323723841,0.13,0.045,1.74553063718517e-15,"1","PAK4"
7.84980780782188e-20,0.354878009923497,0.157,0.059,1.75215560078392e-15,"1","AGK"
9.33008633335299e-20,0.267042088776077,0.886,0.667,2.08256857046772e-15,"1","OST4"
9.80773984918841e-20,0.359382964115954,0.798,0.572,2.18918561173735e-15,"1","AP1S2"
1.02796045262785e-19,0.252045278717612,0.762,0.511,2.29451052631062e-15,"1","RAP1A"
1.18689736241999e-19,0.732307388789694,0.228,0.104,2.64927360265765e-15,"1","NFATC1"
1.34404186139255e-19,0.345797723498778,0.923,0.753,3.00003583881431e-15,"1","RPL31"
1.45151774278368e-19,0.3276856415165,0.899,0.715,3.23993275366745e-15,"1","RPS10"
1.51809715885513e-19,0.29380151434172,0.178,0.071,3.38854466828054e-15,"1","FXR2"
1.51822297825177e-19,0.343871028760329,0.978,0.879,3.38882550975578e-15,"1","RPS29"
1.59996694628236e-19,0.292310277280094,0.3,0.149,3.57128622079687e-15,"1","FBXO6"
1.65195006659597e-19,0.465014028363683,0.16,0.061,3.68731774364888e-15,"1","ANTXR1"
1.65716316574257e-19,0.47971128211634,0.202,0.087,3.69895390225398e-15,"1","AC110769.2"
2.05410818049495e-19,0.287738426481079,0.477,0.275,4.58497486968279e-15,"1","FBP1"
2.12655183222792e-19,0.579820620246058,0.134,0.047,4.74667634471594e-15,"1","PYGO2"
2.150531017805e-19,0.286676698524532,0.174,0.07,4.80020028484254e-15,"1","LINC00467"
2.23160840118818e-19,0.324643060972111,0.112,0.036,4.98117311229214e-15,"1","MICALL2"
2.5661503584261e-19,0.375950330334006,0.122,0.041,5.7279042150429e-15,"1","PPIP5K1"
2.73997864828909e-19,0.324707149086636,0.179,0.073,6.11590634084608e-15,"1","PTPRN2"
2.77474122484713e-19,0.448371284917081,0.167,0.066,6.19349988798127e-15,"1","DEPTOR"
3.06498770904358e-19,0.440778131446097,0.133,0.047,6.84135906535618e-15,"1","PCGF6"
3.11655460320996e-19,0.264940318777305,0.984,0.894,6.95646152982496e-15,"1","RPL29"
3.39065019221274e-19,0.789514121011479,0.129,0.045,7.56827029403806e-15,"1","INPP5E"
3.69824725214293e-19,0.366514308987541,0.88,0.704,8.25485769150823e-15,"1","HSPA8"
5.03174568498219e-19,0.695538293166194,0.107,0.033,1.12313595434488e-14,"1","MKS1"
5.15819114153307e-19,0.4332177154088,0.12,0.04,1.1513598447016e-14,"1","HACE1"
5.60402393237683e-19,0.504653194877889,0.131,0.046,1.25087418194583e-14,"1","FAM50B"
5.81985227423314e-19,0.790460566440917,0.118,0.039,1.29904922613158e-14,"1","PCGF2"
6.05076579848547e-19,0.348002570205605,0.144,0.053,1.35059143387994e-14,"1","ACOX3"
6.28715908180504e-19,0.340327631787127,0.144,0.053,1.4033567786497e-14,"1","TTC32"
6.46219348233162e-19,0.253692399733845,0.164,0.065,1.44242620719124e-14,"1","UBALD1"
6.70479111068564e-19,0.254081917006961,0.207,0.09,1.49657642381614e-14,"1","TRIM65"
6.79617208559675e-19,0.444112709143282,0.112,0.036,1.51697357122605e-14,"1","SH3PXD2B"
7.32045173205562e-19,0.5436062742115,0.12,0.041,1.63399803111213e-14,"1","GSPT2"
7.76201433636698e-19,0.252769659785294,0.817,0.539,1.73255922002047e-14,"1","TMEM50A"
7.87875847110934e-19,0.518839698306974,0.119,0.04,1.75861767833632e-14,"1","KIAA0895L"
9.67391819020543e-19,0.512155045906335,0.112,0.037,2.15931527923575e-14,"1","SIGLEC5"
1.2056726975794e-18,0.260196882110353,0.703,0.456,2.69118202826698e-14,"1","RAB5C"
1.35625583990631e-18,0.260676282503431,0.144,0.054,3.02729866025488e-14,"1","PNMA1"
1.64374269278253e-18,0.282066853675461,0.982,0.916,3.66899806455988e-14,"1","RPL12"
1.73453524005007e-18,0.289343987905369,0.959,0.852,3.87165610931576e-14,"1","RPS25"
1.78765942223282e-18,0.501510930640085,0.134,0.049,3.99023459636587e-14,"1","TMEM121B"
1.81731774347832e-18,0.367722705110644,0.174,0.072,4.05643493521795e-14,"1","GSKIP"
