"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.45284508765168e-45,2.56488965997672,0.37,0.117,1.21712955201473e-40,"8","TCF7L2"
6.9398623904894e-45,2.32565140083255,0.234,0.048,1.54904668418114e-40,"8","C11orf21"
8.91259457778539e-45,3.16391453163661,0.171,0.027,1.98938023570748e-40,"8","IL27"
1.22353463352898e-44,1.03628753166551,0.677,0.301,2.73105165550004e-40,"8","LILRB3"
2.34030407099855e-44,0.639832455916512,0.991,0.865,5.22379271687587e-40,"8","ATP5E"
2.98514984788924e-44,2.44665052473927,0.193,0.034,6.66315297547358e-40,"8","CDC42EP2"
4.5812712530972e-44,1.6599767267492,0.642,0.324,1.02258555640383e-39,"8","BID"
1.21248492244933e-43,1.16752876485712,0.873,0.603,2.70638759539915e-39,"8","LY6E"
8.09473330958814e-43,2.37452503962185,0.199,0.037,1.80682542203317e-38,"8","P2RX1"
1.69737336580582e-42,1.68990341837785,0.646,0.321,3.78870708981517e-38,"8","IFIT3"
2.25040037680253e-42,2.24146673142143,0.513,0.22,5.02311868106094e-38,"8","SPN"
2.98345683150013e-42,1.39531342858979,0.611,0.279,6.65937399359145e-38,"8","DOK2"
3.0823119425679e-42,2.64620838647604,0.193,0.035,6.88002848700582e-38,"8","MTMR11"
4.11515712794227e-42,1.20591697853315,0.699,0.366,9.18544222527995e-38,"8","LMO2"
4.35047909491138e-42,0.871884429953985,0.918,0.608,9.71070438775168e-38,"8","EFHD2"
5.43445411678975e-42,0.986247761910678,0.829,0.472,1.21302450340864e-37,"8","FLNA"
1.10105736160234e-41,2.11303603872879,0.244,0.055,2.45767013683258e-37,"8","SLC24A4"
1.31574968323895e-41,1.30905201393248,0.63,0.291,2.93688486795765e-37,"8","ADGRE2"
2.56942040577828e-41,1.03925362454735,0.873,0.607,5.73520328773769e-37,"8","FGL2"
4.47660399978853e-41,1.00735887238498,0.839,0.535,9.99222778792798e-37,"8","HSBP1"
7.80966115389721e-41,0.853451166893631,0.987,0.875,1.7431944661614e-36,"8","TYMP"
2.47943982447694e-40,0.946099135557758,0.873,0.546,5.53435763221497e-36,"8","FKBP1A"
3.78352043016865e-40,1.57956896302371,0.408,0.139,8.44519595217945e-36,"8","RARA"
4.12524496471225e-40,0.887800572880347,0.715,0.357,9.20795928573422e-36,"8","CSTA"
4.44929122055256e-40,0.868823958388214,0.968,0.752,9.93126293339537e-36,"8","S100A10"
4.71608980227368e-40,1.44355415292326,0.57,0.257,1.05267840476551e-35,"8","SCIMP"
4.19261404484639e-39,2.87205734261125,0.168,0.029,9.35833380950163e-35,"8","CASP5"
4.46595920179632e-39,0.635171743828196,0.991,0.905,9.96846753432958e-35,"8","RPS9"
