"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Non-malignant","TGFb","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",1,0.00392370674901203
"Advanced","TGFb","Cell cycle cell","Myeloid-CLEC10A-APC",2,0.00589258980791679
"Early","TGFb","Cell cycle cell","Myeloid-CLEC10A-APC",1,0.00288058541752327
"Non-malignant","TGFb","Cell cycle cell","Myeloid-CLEC10A-APC",1,0.0022146314641813
"Advanced","TGFb","Endothelia","C6-SLC2A1-like",2,0.0254003583027286
"Early","TGFb","Endothelia","C6-SLC2A1-like",1,0.00640677296814272
"Non-malignant","TGFb","Endothelia","C6-SLC2A1-like",1,0.00741113395046726
"Advanced","TGFb","Endothelia","C7-APOBEC3A-like",1,0.00734684845243134
"Early","TGFb","Endothelia","C7-APOBEC3A-like",2,0.0147416450954931
"Advanced","TGFb","Endothelia","Mac-Cycling",1,0.0112872151839611
"Early","TGFb","Endothelia","Mac-Cycling",1,0.00462061326087079
"Non-malignant","TGFb","Endothelia","Mac-Cycling",1,0.0125521025595958
"Advanced","TGFb","Endothelia","Mac-FOLR2-LYVE1-resident",1,0.0135976087702575
"Non-malignant","TGFb","Endothelia","Mac-FOLR2-LYVE1-resident",1,0.00321686737354073
"Advanced","TGFb","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.0305621378510802
"Early","TGFb","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.0105573133000315
"Non-malignant","TGFb","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.0078423851678357
"Advanced","TGFb","Endothelia","Myeloid-CLEC10A-APC",2,0.0215655931926528
"Early","TGFb","Endothelia","Myeloid-CLEC10A-APC",1,0.00549521831106215
"Non-malignant","TGFb","Endothelia","Myeloid-CLEC10A-APC",1,0.00443299753479429
"Advanced","TGFb","Fibroblast","C6-SLC2A1-like",1,0.00119863062301104
"Early","TGFb","Fibroblast","C6-SLC2A1-like",2,0.000440832938429086
"Early","TGFb","Fibroblast","C7-APOBEC3A-like",6,0.00160143107363464
"Early","TGFb","Fibroblast","Mac-Cycling",2,0.000317432077917459
"Early","TGFb","Fibroblast","Mac-OLFML3-CX3CR1-resident",3,0.00114665133993219
"Advanced","TGFb","Fibroblast","Myeloid-CLEC10A-APC",1,0.000200484318538294
"Early","TGFb","Fibroblast","Myeloid-CLEC10A-APC",2,0.000377807603012296
"Advanced","TGFb","Mac-Cycling","C6-SLC2A1-like",2,0.0171679414234909
"Early","TGFb","Mac-Cycling","C6-SLC2A1-like",1,0.00736310817762304
"Non-malignant","TGFb","Mac-Cycling","C6-SLC2A1-like",1,0.00597896157835095
"Advanced","TGFb","Mac-Cycling","C7-APOBEC3A-like",1,0.00484254440822106
"Early","TGFb","Mac-Cycling","C7-APOBEC3A-like",2,0.0169278174584729
"Advanced","TGFb","Mac-Cycling","Cell cycle cell",1,0.00236874100369584
"Non-malignant","TGFb","Mac-Cycling","Cell cycle cell",1,0.00271180780019308
"Non-malignant","TGFb","Mac-Cycling","Endothelia",2,0.00544765579794932
"Advanced","TGFb","Mac-Cycling","Epithelia",1,0.00223216135804403
"Early","TGFb","Mac-Cycling","Epithelia",2,0.00211959782239006
"Advanced","TGFb","Mac-Cycling","Fibroblast",2,0.00851515910994128
"Early","TGFb","Mac-Cycling","Fibroblast",3,0.00562052691841485
"Advanced","TGFb","Mac-Cycling","Mac-Cycling",1,0.00744816428674261
"Early","TGFb","Mac-Cycling","Mac-Cycling",1,0.00531216998626667
"Non-malignant","TGFb","Mac-Cycling","Mac-Cycling",1,0.0101340900596999
"Advanced","TGFb","Mac-Cycling","Mac-FOLR2-LYVE1-resident",1,0.00897868006051399
"Non-malignant","TGFb","Mac-Cycling","Mac-FOLR2-LYVE1-resident",1,0.00259427571624226
"Advanced","TGFb","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",1,0.0202791922153531
"Early","TGFb","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",1,0.0121234365686866
"Non-malignant","TGFb","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",1,0.00632807385650994
"Advanced","TGFb","Mac-Cycling","Myeloid",1,0.00578065752603341
"Advanced","TGFb","Mac-Cycling","Myeloid-CLEC10A-APC",2,0.0142353801708716
"Early","TGFb","Mac-Cycling","Myeloid-CLEC10A-APC",1,0.00631660319614322
"Non-malignant","TGFb","Mac-Cycling","Myeloid-CLEC10A-APC",1,0.0035753028748359
"Advanced","TGFb","Mac-Cycling","SMC_myoFibroblast",2,0.00558752036680424
"Early","TGFb","Mac-Cycling","SMC_myoFibroblast",1,0.00581495611782908
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like",2,0.0061059630180378
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like",1,0.00414326883060213
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Cell cycle cell",1,0.00187803842947141
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Endothelia",2,0.00377282652572561
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Epithelia",1,0.000790503213980649
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Fibroblast",1,0.00232604639682505
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Mac-Cycling",1,0.00264654898674489
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Mac-Cycling",1,0.00703370246003331
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident",1,0.00319356033573277
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident",1,0.00179640599683685
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Mac-OLFML3-CX3CR1-resident",1,0.00726634239021731
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Mac-OLFML3-CX3CR1-resident",1,0.00438692493855242
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Myeloid",1,0.00205181319114397
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",2,0.00506080807484941
"Non-malignant","TGFb","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",1,0.00247610198665537
"Advanced","TGFb","Mac-FOLR2-LYVE1-resident","SMC_myoFibroblast",1,0.00124322269725312
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",2,0.015250770542725
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",1,0.00540490503555206
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",1,0.010644385111074
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like",1,0.0042998124893483
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like",2,0.0124425609752749
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Cell cycle cell",1,0.00210267670811685
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Cell cycle cell",1,0.0048355426850083
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Endothelia",2,0.00971329954283769
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Epithelia",1,0.00198142049388276
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","Epithelia",2,0.00155331144050279
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Fibroblast",2,0.00756240556021933
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","Fibroblast",3,0.00412150642089858
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Fibroblast",1,0.00137683138634617
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",1,0.0066153467595337
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",1,0.00389726804043636
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",1,0.017970136202846
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident",1,0.00797610293087716
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident",1,0.00462751873812243
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",1,0.0180377445183776
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",1,0.00891059858735608
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",1,0.0112546310829629
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Myeloid",1,0.0051333281953724
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",2,0.0126447553307026
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",1,0.00463541617483035
"Non-malignant","TGFb","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",1,0.00637489996839231
"Advanced","TGFb","Mac-OLFML3-CX3CR1-resident","SMC_myoFibroblast",1,0.00311414585539009
"Early","TGFb","Mac-OLFML3-CX3CR1-resident","SMC_myoFibroblast",1,0.00426716324925561
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like",1,0.00398305111726539
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Cell cycle cell",1,0.00180506006779431
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Endothelia",2,0.00352551884734654
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Mac-Cycling",1,0.00676506219965087
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Mac-FOLR2-LYVE1-resident",1,0.00172652819820333
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Mac-OLFML3-CX3CR1-resident",1,0.0042178094297043
"Non-malignant","TGFb","Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC",1,0.00237990103796538
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",2,0.00567437780603456
"Early","TGFb","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",1,0.00330477471112396
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like",1,0.0111375673108159
"Early","TGFb","Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like",2,0.007618856093822
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Cell cycle cell",1,0.00505791844868444
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Endothelia",2,0.00980742810044285
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Epithelia",1,0.000734506046044574
"Early","TGFb","Mono-FCN1-S100A8-S100A9","Epithelia",2,0.000948068118429327
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Fibroblast",1,0.00216150756919057
"Early","TGFb","Mono-FCN1-S100A8-S100A9","Fibroblast",3,0.00251727079794587
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Fibroblast",1,0.00143988076364288
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Mac-Cycling",1,0.0024593944788627
"Early","TGFb","Mono-FCN1-S100A8-S100A9","Mac-Cycling",1,0.00238154255794101
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Mac-Cycling",1,0.0188182023310489
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident",1,0.00296783824427225
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident",1,0.00483999141994538
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",1,0.00675470515130711
"Early","TGFb","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",1,0.00545576778462453
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",1,0.0117785278014414
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Myeloid",1,0.00190663587684819
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",2,0.00470301923504823
"Early","TGFb","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",1,0.00283342672491443
"Non-malignant","TGFb","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",1,0.00666814931665115
"Advanced","TGFb","Mono-FCN1-S100A8-S100A9","SMC_myoFibroblast",1,0.00115519147754061
"Early","TGFb","Mono-FCN1-S100A8-S100A9","SMC_myoFibroblast",1,0.00260825054825914
"Advanced","TGFb","Myeloid","C6-SLC2A1-like",2,0.00611193578235432
"Early","TGFb","Myeloid","C6-SLC2A1-like",1,0.004613285875055
"Non-malignant","TGFb","Myeloid","C6-SLC2A1-like",1,0.00744111114937858
"Advanced","TGFb","Myeloid","C7-APOBEC3A-like",1,0.00171947221527543
"Early","TGFb","Myeloid","C7-APOBEC3A-like",2,0.0106259522845987
"Advanced","TGFb","Myeloid","Mac-Cycling",1,0.0026491391381174
"Early","TGFb","Myeloid","Mac-Cycling",1,0.00332572371735906
"Non-malignant","TGFb","Myeloid","Mac-Cycling",1,0.0125966315396391
"Advanced","TGFb","Myeloid","Mac-FOLR2-LYVE1-resident",1,0.00319668412581286
"Non-malignant","TGFb","Myeloid","Mac-FOLR2-LYVE1-resident",1,0.00323065347816598
"Advanced","TGFb","Myeloid","Mac-OLFML3-CX3CR1-resident",1,0.00727342091487901
"Early","TGFb","Myeloid","Mac-OLFML3-CX3CR1-resident",1,0.00760945301481444
"Non-malignant","TGFb","Myeloid","Mac-OLFML3-CX3CR1-resident",1,0.00787312529941548
"Advanced","TGFb","Myeloid","Myeloid-CLEC10A-APC",2,0.00506575964481109
"Early","TGFb","Myeloid","Myeloid-CLEC10A-APC",1,0.00395605046364496
"Non-malignant","TGFb","Myeloid","Myeloid-CLEC10A-APC",1,0.00445177693452711
"Advanced","TGFb","Myeloid-CLEC10A-APC","C6-SLC2A1-like",2,0.0215871512758306
"Early","TGFb","Myeloid-CLEC10A-APC","C6-SLC2A1-like",1,0.00835482891252427
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","C6-SLC2A1-like",1,0.0152600833095533
"Advanced","TGFb","Myeloid-CLEC10A-APC","C7-APOBEC3A-like",1,0.00609546133705476
"Early","TGFb","Myeloid-CLEC10A-APC","C7-APOBEC3A-like",2,0.019194789552321
"Advanced","TGFb","Myeloid-CLEC10A-APC","Cell cycle cell",1,0.00298352691041158
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Cell cycle cell",1,0.00693846737451005
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Endothelia",2,0.0134422104907318
"Advanced","TGFb","Myeloid-CLEC10A-APC","Epithelia",1,0.00281155697542671
"Early","TGFb","Myeloid-CLEC10A-APC","Epithelia",2,0.00240710958014516
"Advanced","TGFb","Myeloid-CLEC10A-APC","Fibroblast",2,0.0107130976092617
"Early","TGFb","Myeloid-CLEC10A-APC","Fibroblast",3,0.00638087833097072
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Fibroblast",1,0.00197658261462722
"Advanced","TGFb","Myeloid-CLEC10A-APC","Mac-Cycling",1,0.00936888934207925
"Early","TGFb","Myeloid-CLEC10A-APC","Mac-Cycling",1,0.00602933227291322
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Mac-Cycling",1,0.025706153722744
"Advanced","TGFb","Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident",1,0.0112896036653983
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident",1,0.00664120898082059
"Advanced","TGFb","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",1,0.0254240141591785
"Early","TGFb","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",1,0.0137474357313374
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",1,0.0161260393852465
"Advanced","TGFb","Myeloid-CLEC10A-APC","Myeloid",1,0.00727451925431428
"Advanced","TGFb","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",2,0.0179027850831008
"Early","TGFb","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",1,0.00716839038233411
"Non-malignant","TGFb","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",1,0.00914697401758818
"Advanced","TGFb","Myeloid-CLEC10A-APC","SMC_myoFibroblast",2,0.00703581881671686
"Early","TGFb","Myeloid-CLEC10A-APC","SMC_myoFibroblast",1,0.00659919158077151
"Advanced","TGFb","Other T","C6-SLC2A1-like",2,0.00622387186710342
"Early","TGFb","Other T","C6-SLC2A1-like",1,0.00146496871065788
"Non-malignant","TGFb","Other T","C6-SLC2A1-like",1,0.00133834873609993
"Early","TGFb","Other T","C7-APOBEC3A-like",2,0.00338163424119415
"Advanced","TGFb","Other T","Mac-Cycling",1,0.00269768186841988
"Early","TGFb","Other T","Mac-Cycling",1,0.00105516636404083
"Non-malignant","TGFb","Other T","Mac-Cycling",1,0.00227741281792704
"Advanced","TGFb","Other T","Mac-FOLR2-LYVE1-resident",1,0.0032552273036991
"Advanced","TGFb","Other T","Mac-OLFML3-CX3CR1-resident",1,0.00740606959668369
"Early","TGFb","Other T","Mac-OLFML3-CX3CR1-resident",1,0.00242138844432375
"Non-malignant","TGFb","Other T","Mac-OLFML3-CX3CR1-resident",1,0.00141789860052177
"Advanced","TGFb","Other T","Myeloid-CLEC10A-APC",2,0.00515855786001915
"Early","TGFb","Other T","Myeloid-CLEC10A-APC",1,0.00125569496362782
"Advanced","TGFb","SMC_myoFibroblast","C6-SLC2A1-like",4,0.0108782009578018
"Early","TGFb","SMC_myoFibroblast","C6-SLC2A1-like",3,0.00535334425584133
"Non-malignant","TGFb","SMC_myoFibroblast","C6-SLC2A1-like",2,0.00425960289618963
"Advanced","TGFb","SMC_myoFibroblast","C7-APOBEC3A-like",1,0.000604800574159733
"Early","TGFb","SMC_myoFibroblast","C7-APOBEC3A-like",6,0.0123446788091455
"Advanced","TGFb","SMC_myoFibroblast","Mac-Cycling",2,0.00385270667303807
"Early","TGFb","SMC_myoFibroblast","Mac-Cycling",3,0.00385743308034507
"Non-malignant","TGFb","SMC_myoFibroblast","Mac-Cycling",2,0.00723556277274517
"Advanced","TGFb","SMC_myoFibroblast","Mac-FOLR2-LYVE1-resident",2,0.00464792110114944
"Non-malignant","TGFb","SMC_myoFibroblast","Mac-FOLR2-LYVE1-resident",2,0.00184630937564396
"Advanced","TGFb","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",2,0.010556986397415
"Early","TGFb","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",3,0.00883975679460756
"Non-malignant","TGFb","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",2,0.00451078333389293
"Advanced","TGFb","SMC_myoFibroblast","Myeloid-CLEC10A-APC",4,0.00736637078269469
"Early","TGFb","SMC_myoFibroblast","Myeloid-CLEC10A-APC",3,0.00458958273081143
"Non-malignant","TGFb","SMC_myoFibroblast","Myeloid-CLEC10A-APC",2,0.00254503798551425
"Advanced","VEGF","B cell_plasma","Myeloid-CLEC10A-APC",1,0.000300077771935926
"Advanced","VEGF","C6-SLC2A1-like","Endothelia",4,0.357172639831036
"Early","VEGF","C6-SLC2A1-like","Endothelia",4,0.158066176759349
"Non-malignant","VEGF","C6-SLC2A1-like","Endothelia",4,0.152040268757352
"Advanced","VEGF","C6-SLC2A1-like","Myeloid-CLEC10A-APC",2,0.00992447371587479
"Advanced","VEGF","C7-APOBEC3A-like","Endothelia",4,0.114397852151329
"Early","VEGF","C7-APOBEC3A-like","Endothelia",4,0.0640410192137215
"Non-malignant","VEGF","C7-APOBEC3A-like","Endothelia",4,0.152871770652647
"Advanced","VEGF","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",2,0.00411395906213079
"Advanced","VEGF","Cell cycle cell","Myeloid-CLEC10A-APC",2,0.00140686903704434
"Advanced","VEGF","Endothelia","Myeloid-CLEC10A-APC",1,0.000190005296796034
"Advanced","VEGF","Epithelia","Myeloid-CLEC10A-APC",2,0.00751978272838624
"Advanced","VEGF","Fibroblast","Myeloid-CLEC10A-APC",2,0.00262130491026522
"Advanced","VEGF","Mac-Cycling","Endothelia",4,0.0895627225038498
"Early","VEGF","Mac-Cycling","Endothelia",4,0.0449365194304395
"Non-malignant","VEGF","Mac-Cycling","Endothelia",4,0.0299411402590747
"Advanced","VEGF","Mac-Cycling","Myeloid-CLEC10A-APC",2,0.00322288537963904
"Advanced","VEGF","Mac-FOLR2-LYVE1-resident","Endothelia",1,0.0161159943863691
"Non-malignant","VEGF","Mac-FOLR2-LYVE1-resident","Endothelia",3,0.0498268649393661
"Advanced","VEGF","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",1,0.00101667336059778
"Advanced","VEGF","Mac-NUPR1-IGF2-stress","Endothelia",3,0.122808104628649
"Early","VEGF","Mac-NUPR1-IGF2-stress","Endothelia",3,0.0407643716266551
"Advanced","VEGF","Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC",1,0.00251194996045603
"Advanced","VEGF","Mac-OLFML3-CX3CR1-resident","Endothelia",4,0.0863766443227096
"Early","VEGF","Mac-OLFML3-CX3CR1-resident","Endothelia",4,0.0391257895364589
"Non-malignant","VEGF","Mac-OLFML3-CX3CR1-resident","Endothelia",4,0.0635918138661688
"Advanced","VEGF","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",2,0.00245687665510038
"Advanced","VEGF","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.207096972552182
"Early","VEGF","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.134279945573137
"Non-malignant","VEGF","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.0911648999567821
"Advanced","VEGF","Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC",1,0.00435661070457797
"Advanced","VEGF","Mono-FCN1-S100A8-S100A9","Endothelia",3,0.0947056859037487
"Early","VEGF","Mono-FCN1-S100A8-S100A9","Endothelia",3,0.126084144487798
"Advanced","VEGF","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",1,0.00191941653751329
"Advanced","VEGF","Myeloid","Myeloid-CLEC10A-APC",2,0.00176473453623278
"Advanced","VEGF","Myeloid-CLEC10A-APC","Endothelia",4,0.351044170031713
"Early","VEGF","Myeloid-CLEC10A-APC","Endothelia",4,0.167255422772363
"Non-malignant","VEGF","Myeloid-CLEC10A-APC","Endothelia",4,0.165555747540428
"Advanced","VEGF","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",2,0.00838377718725197
"Advanced","VEGF","SMC_myoFibroblast","Myeloid-CLEC10A-APC",2,0.00598672048880989
