"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Advanced","CCL","Endothelia","C6-SLC2A1-like",1,0.00434081147050699
"Early","CCL","Endothelia","C6-SLC2A1-like",1,0.000621962533435864
"Non-malignant","CCL","Endothelia","C6-SLC2A1-like",1,0.0062105086484898
"Non-malignant","CCL","Endothelia","C7-APOBEC3A-like",1,0.0053056193637157
"Advanced","CCL","Endothelia","Mac-Cycling",1,0.00229850048784551
"Non-malignant","CCL","Endothelia","Mac-Cycling",1,0.00247180325045864
"Advanced","CCL","Endothelia","Mac-FOLR2-LYVE1-resident",1,0.00167407182955149
"Non-malignant","CCL","Endothelia","Mac-FOLR2-LYVE1-resident",1,0.00505037928727005
"Advanced","CCL","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.00233177606371008
"Non-malignant","CCL","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.00373531047942207
"Non-malignant","CCL","Endothelia","Mac-TNF-CCL4-inflammatory",1,0.000807674077364251
"Advanced","CCL","Endothelia","Mono-FCN1-S100A8-S100A9",1,0.00201586812739175
"Non-malignant","CCL","Endothelia","Mono-FCN1-S100A8-S100A9",1,0.00178633936564331
"Advanced","CCL","Endothelia","Myeloid-CLEC10A-APC",1,0.000404645147613955
"Early","CCL","Endothelia","Myeloid-CLEC10A-APC",1,0.000503201996113766
"Non-malignant","CCL","Endothelia","Myeloid-CLEC10A-APC",1,0.00202699187852526
"Advanced","CCL","Epithelia","C6-SLC2A1-like",1,0.000262718970648503
"Early","CCL","Epithelia","C6-SLC2A1-like",1,8.87783610106714e-05
"Advanced","CCL","Epithelia","Mac-Cycling",1,0.000138844601998235
"Advanced","CCL","Epithelia","Mac-FOLR2-LYVE1-resident",1,0.000101065556466
"Advanced","CCL","Epithelia","Mac-OLFML3-CX3CR1-resident",1,0.000140859080611605
"Advanced","CCL","Epithelia","Mono-FCN1-S100A8-S100A9",1,0.000121739338237233
"Advanced","CCL","Epithelia","Myeloid-CLEC10A-APC",2,9.00827111658641e-05
"Early","CCL","Epithelia","Myeloid-CLEC10A-APC",1,7.18192745627799e-05
"Early","CCL","Fibroblast","C6-SLC2A1-like",1,0.000213465847456397
"Non-malignant","CCL","Fibroblast","C7-APOBEC3A-like",1,0.00071329748892032
"Advanced","CCL","Fibroblast","Mono-FCN1-S100A8-S100A9",1,0.00112123007529265
"Early","CCL","Fibroblast","Mono-FCN1-S100A8-S100A9",1,0.00138827136765721
