"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.03230957239757e-158,-4.36097570078039,0.045,0.89,6.76841819654861e-154,"RRBP1"
8.22223945202501e-158,1.88136897304243,0.989,0.944,1.8352860680865e-153,"RPL7A"
1.05008394207949e-156,6.32846644086216,0.634,0.064,2.34389236711563e-152,"SELL"
1.27358870571512e-156,2.20225984161543,0.966,0.883,2.84277735002672e-152,"H3F3A"
6.15173042692122e-156,1.96826765665411,0.98,0.962,1.37312774859308e-151,"RPL3"
3.88002603071864e-155,2.18749448659509,0.959,0.902,8.66060610316709e-151,"RPL5"
1.18971755604282e-154,-6.70378852469389,0.465,0.958,2.65556855684317e-150,"IGHG4"
3.90560729423813e-154,1.8858834209392,0.968,0.917,8.71770604146893e-150,"RPL24"
1.31813188164383e-153,1.84321255934886,0.98,0.964,2.94220217301719e-149,"RPS4X"
2.14428114778452e-153,3.71310340073381,0.916,0.461,4.78624994996982e-149,"KLF2"
1.63635247935516e-152,1.97251770547297,0.977,0.975,3.65250236916865e-148,"RPL10"
3.63966179737321e-152,4.14904368556886,0.851,0.372,8.12408909791675e-148,"CD48"
4.10024546946874e-152,-4.20668823850093,0.088,0.89,9.15215791240118e-148,"DERL3"
1.55824871481546e-151,6.69032203172933,0.51,0.01,3.4781669563396e-147,"LINC00926"
3.7982564269139e-151,6.37594491139238,0.494,0.004,8.47808817051452e-147,"SPIB"
6.197407581082e-151,4.74245072769463,0.544,0.021,1.38332334617331e-146,"IRF8"
1.04247074947583e-149,9.31347408126044,0.485,0.003,2.326898959905e-145,"GAPT"
7.39073318391904e-149,4.44285218976225,0.878,0.444,1.64968555398257e-144,"CXCR4"
5.11837939936525e-148,2.17569032322034,0.946,0.91,1.14247346573232e-143,"RACK1"
1.09718592993095e-146,2.0857412186165,0.957,0.946,2.44902871419886e-142,"FTH1"
2.9069290883151e-146,-3.60456236951258,0.135,0.9,6.48855641802812e-142,"ITM2C"
1.22424047500348e-144,1.60462149482963,0.989,0.989,2.73262716425528e-140,"RPLP1"
1.84675134390752e-144,-3.77651736435687,0.129,0.865,4.12213367473598e-140,"PRDX4"
6.85433861013024e-144,1.77660789176115,0.964,0.926,1.52995692116717e-139,"RPL6"
7.74004290850278e-144,-5.04305409842027,0.278,0.918,1.7276549776069e-139,"JCHAIN"
2.85463279588892e-143,1.49074197739354,0.995,0.978,6.37182586370366e-139,"TPT1"
1.05970786274411e-141,4.09068441084304,0.808,0.301,2.36537392043113e-137,"CORO1A"
2.381331291404e-141,-6.51409607069621,0.58,0.956,5.31536957554288e-137,"IGHG1"
5.16515022366411e-141,-2.8316505389755,0.246,0.931,1.15291318142407e-136,"FKBP2"
1.46056361481367e-140,6.98551809395738,0.485,0.011,3.2601240446256e-136,"CD22"
1.50682658246148e-140,7.35049944486962,0.485,0.012,3.36338761471227e-136,"LY86"
1.85700155299258e-140,2.21637678865132,0.935,0.899,4.14501316643475e-136,"RPS5"
2.03921735276147e-138,2.20924703105796,0.926,0.851,4.55173705309887e-134,"PFDN5"
3.31936287498674e-138,-3.13345494299787,0.05,0.85,7.4091498732579e-134,"SLAMF7"
3.05373950111203e-137,3.70153454011341,0.842,0.44,6.81625194043216e-133,"ARHGDIB"
2.52965185832322e-136,-3.07718315265486,0.151,0.896,5.64643591296326e-132,"SELENOS"
4.22009933300756e-136,2.39185194146346,0.923,0.861,9.41968372120617e-132,"RPL23"
5.12685843422594e-136,2.69910629448926,0.907,0.777,1.14436607110357e-131,"RPL31"
2.89594688029858e-133,2.68517307010221,0.903,0.732,6.46404303151446e-129,"ARPC3"
1.02280194457181e-130,3.46038849396759,0.865,0.584,2.28299622047873e-126,"MYL12A"
1.61997239661057e-130,-2.68124998688929,0.316,0.904,3.61594038647446e-126,"SEC11C"
2.06114172052521e-127,1.90049436317966,0.937,0.872,4.60067443438433e-123,"RPL4"
2.81063286607655e-127,2.10804697018371,0.928,0.875,6.27361362036946e-123,"EEF1B2"
9.76731831061449e-127,1.79756049838316,0.946,0.926,2.18016312011226e-122,"HLA-E"
3.96911369140022e-124,5.79270430301749,0.54,0.059,8.85945867057444e-120,"SWAP70"
6.05364126040611e-124,9.64641331617161,0.409,0.002,1.35123326573525e-119,"SCIMP"
4.82343004199325e-122,3.03401775471506,0.887,0.715,1.07663781967331e-117,"ACTG1"
6.43523821825087e-122,-3.53670842494555,0.047,0.78,1.43640952269578e-117,"NUCB2"
3.27231010384536e-120,-3.01799013415795,0.074,0.821,7.30412338279322e-116,"CD38"
3.4146885978481e-120,-2.8162393699915,0.111,0.864,7.62192641925675e-116,"SEL1L"
7.72547059873687e-119,6.03361831656922,0.467,0.029,1.72440229234406e-114,"FCMR"
5.87351074305158e-117,1.07729434518498,1,0.998,1.31102633295654e-112,"B2M"
8.45966898368699e-117,3.57544305423369,0.824,0.526,1.88828271384877e-112,"CD79B"
2.55261997643348e-116,6.7765628927558,0.467,0.033,5.69770304939717e-112,"CD83"
7.65541999054293e-116,3.51808316139085,0.77,0.334,1.70876629608909e-111,"LIMD2"
1.85452292279879e-113,2.45572279829487,0.874,0.714,4.13948061597918e-109,"NOP53"
2.14234420121087e-113,2.37154437267941,0.876,0.76,4.78192649152278e-109,"BTF3"
