"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Epithelia","Myeloid","HLA-DRA","CD4",0.0311528747862102,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Myeloid","HLA-DRA","CD4",0.0920306149197349,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Myeloid","HLA-DRA","CD4",0.113007471159235,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Myeloid","HLA-DRA","CD4",0.0808251943249039,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Myeloid","HLA-DRA","CD4",0.128275131253019,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Myeloid","HLA-DRA","CD4",0.088420972753991,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Myeloid","HLA-DRA","CD4",0.0917961051720886,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","Myeloid","HLA-DRA","CD4",0.117913694824445,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Myeloid","HLA-DRA","CD4",0.0996224941716941,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Other T","Myeloid","HLA-DRA","CD4",0.0139236382077935,0.03,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0302038749546479,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0762119231984882,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.104586196202423,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0260643591319093,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0406726808376996,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0265488340006584,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0791646858406742,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0975239509777437,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0694060424588835,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.110961429429557,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0760174247225461,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0789601096214959,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.101835133966773,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC","HLA-DRA","CD4",0.0857955048943929,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","Other T","HLA-DRA","CD4",0.0167378465954211,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","Other T","HLA-DRA","CD4",0.0431463562037265,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Other T","HLA-DRA","CD4",0.0600097701514852,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Other T","HLA-DRA","CD4",0.0144164483357834,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Other T","HLA-DRA","CD4",0.0226482638703755,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","Other T","HLA-DRA","CD4",0.014687681147203,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Other T","HLA-DRA","CD4",0.0448802623845532,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Other T","HLA-DRA","CD4",0.055770096242414,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Other T","HLA-DRA","CD4",0.0391681002349134,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Other T","HLA-DRA","CD4",0.0638615649825626,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Other T","HLA-DRA","CD4",0.0430323126088679,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Other T","HLA-DRA","CD4",0.0447599769301553,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","Other T","HLA-DRA","CD4",0.0583548416870556,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Other T","HLA-DRA","CD4",0.0487915828796843,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","SMC_myoFibroblast","HLA-DRA","CD4",0.0224240779229512,0.03,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
