"sample","stage","identity","n_cells"
"GSM5599225_Cancer1","Advanced","SMC_myoFibroblast",21
"GSM5599226_Cancer2","Advanced","B cell_plasma",40
"GSM5599226_Cancer2","Advanced","C6-SLC2A1-like",78
"GSM5599226_Cancer2","Advanced","C7-APOBEC3A-like",19
"GSM5599226_Cancer2","Advanced","CD8 T",265
"GSM5599226_Cancer2","Advanced","Cell cycle cell",77
"GSM5599226_Cancer2","Advanced","Endothelia",318
"GSM5599226_Cancer2","Advanced","Epithelia",1321
"GSM5599226_Cancer2","Advanced","Fibroblast",301
"GSM5599226_Cancer2","Advanced","Mac-Cycling",187
"GSM5599226_Cancer2","Advanced","Mac-FOLR2-LYVE1-resident",142
"GSM5599226_Cancer2","Advanced","Mac-NUPR1-IGF2-stress",71
"GSM5599226_Cancer2","Advanced","Mac-OLFML3-CX3CR1-resident",60
"GSM5599226_Cancer2","Advanced","Mac-TNF-CCL4-inflammatory",115
"GSM5599226_Cancer2","Advanced","Mono-CDKN1C",15
"GSM5599226_Cancer2","Advanced","Mono-FCN1-S100A8-S100A9",38
"GSM5599226_Cancer2","Advanced","Myeloid",34
"GSM5599226_Cancer2","Advanced","Myeloid-CLEC10A-APC",54
"GSM5599226_Cancer2","Advanced","Other T",236
"GSM5599226_Cancer2","Advanced","SMC_myoFibroblast",102
"GSM5599227_Cancer3","Early","B cell_plasma",176
"GSM5599227_Cancer3","Early","C6-SLC2A1-like",21
"GSM5599227_Cancer3","Early","C7-APOBEC3A-like",269
"GSM5599227_Cancer3","Early","CD8 T",1791
"GSM5599227_Cancer3","Early","Cell cycle cell",411
"GSM5599227_Cancer3","Early","Endothelia",4
"GSM5599227_Cancer3","Early","Epithelia",480
"GSM5599227_Cancer3","Early","Fibroblast",13
"GSM5599227_Cancer3","Early","Mac-Cycling",36
"GSM5599227_Cancer3","Early","Mac-FOLR2-LYVE1-resident",28
"GSM5599227_Cancer3","Early","Mac-NUPR1-IGF2-stress",29
"GSM5599227_Cancer3","Early","Mac-OLFML3-CX3CR1-resident",6
"GSM5599227_Cancer3","Early","Mac-TNF-CCL4-inflammatory",23
"GSM5599227_Cancer3","Early","Mono-CDKN1C",3
"GSM5599227_Cancer3","Early","Mono-FCN1-S100A8-S100A9",24
"GSM5599227_Cancer3","Early","Myeloid",61
"GSM5599227_Cancer3","Early","Myeloid-CLEC10A-APC",8
"GSM5599227_Cancer3","Early","Other T",1001
"GSM5599227_Cancer3","Early","SMC_myoFibroblast",5
"GSM5599228_Cancer4","Early","B cell_plasma",24
"GSM5599228_Cancer4","Early","C6-SLC2A1-like",29
"GSM5599228_Cancer4","Early","C7-APOBEC3A-like",8
"GSM5599228_Cancer4","Early","CD8 T",363
"GSM5599228_Cancer4","Early","Cell cycle cell",53
"GSM5599228_Cancer4","Early","Endothelia",12
"GSM5599228_Cancer4","Early","Epithelia",976
"GSM5599228_Cancer4","Early","Fibroblast",56
"GSM5599228_Cancer4","Early","Mac-Cycling",81
"GSM5599228_Cancer4","Early","Mac-FOLR2-LYVE1-resident",75
"GSM5599228_Cancer4","Early","Mac-NUPR1-IGF2-stress",36
"GSM5599228_Cancer4","Early","Mac-OLFML3-CX3CR1-resident",42
"GSM5599228_Cancer4","Early","Mac-TNF-CCL4-inflammatory",175
"GSM5599228_Cancer4","Early","Mono-FCN1-S100A8-S100A9",26
"GSM5599228_Cancer4","Early","Myeloid",8
"GSM5599228_Cancer4","Early","Myeloid-CLEC10A-APC",37
"GSM5599228_Cancer4","Early","Other T",335
"GSM5599228_Cancer4","Early","SMC_myoFibroblast",18
"GSM5599229_Cancer5","Advanced","B cell_plasma",412
"GSM5599229_Cancer5","Advanced","C6-SLC2A1-like",22
"GSM5599229_Cancer5","Advanced","C7-APOBEC3A-like",143
"GSM5599229_Cancer5","Advanced","CD8 T",1646
"GSM5599229_Cancer5","Advanced","Cell cycle cell",245
"GSM5599229_Cancer5","Advanced","Endothelia",35
"GSM5599229_Cancer5","Advanced","Epithelia",487
"GSM5599229_Cancer5","Advanced","Fibroblast",81
"GSM5599229_Cancer5","Advanced","Mac-Cycling",68
"GSM5599229_Cancer5","Advanced","Mac-FOLR2-LYVE1-resident",99
"GSM5599229_Cancer5","Advanced","Mac-NUPR1-IGF2-stress",30
"GSM5599229_Cancer5","Advanced","Mac-OLFML3-CX3CR1-resident",23
"GSM5599229_Cancer5","Advanced","Mac-TNF-CCL4-inflammatory",17
"GSM5599229_Cancer5","Advanced","Mono-CDKN1C",3
"GSM5599229_Cancer5","Advanced","Mono-FCN1-S100A8-S100A9",5
"GSM5599229_Cancer5","Advanced","Myeloid",74
"GSM5599229_Cancer5","Advanced","Myeloid-CLEC10A-APC",15
"GSM5599229_Cancer5","Advanced","Other T",1598
"GSM5599229_Cancer5","Advanced","SMC_myoFibroblast",44
"GSM5599230_Cancer6","Advanced","B cell_plasma",14
"GSM5599230_Cancer6","Advanced","C6-SLC2A1-like",103
"GSM5599230_Cancer6","Advanced","C7-APOBEC3A-like",18
"GSM5599230_Cancer6","Advanced","CD8 T",295
"GSM5599230_Cancer6","Advanced","Cell cycle cell",95
"GSM5599230_Cancer6","Advanced","Endothelia",27
"GSM5599230_Cancer6","Advanced","Epithelia",1812
"GSM5599230_Cancer6","Advanced","Fibroblast",1058
